reason,n_total,n_npl,pct_npl,category
Даромадларим камайди,649,378,0.4772727272727273,Economic
Кутилмаган харажатлар чиқиб қолди (касаллик ва бошқа ҳодисалар),368,230,0.2904040404040404,Other
Даромадларим мавсумий/доимий эмас,311,196,0.2474747474747475,Economic
Иш ҳақи кечиктирилди,244,102,0.12878787878787878,Other
Бошқа,86,66,0.08333333333333333,Other
Кредит олишда имкониятларимни нотўғри баҳоладим,83,60,0.07575757575757576,Behavioral
Бошқа қарзларга йўналтирилди,100,52,0.06565656565656566,Behavioral
Номимга рухсатимсиз кредит расмийлаштирилди,36,31,0.039141414141414144,Institutional
Ҳар доим тўловни ўз вақтида амалга ошираман,213,19,0.023989898989898988,Other
Жавоб беришга қийналаман (ўқилмасин),29,17,0.021464646464646464,Other
Имкониятим бўлгандагина тўлашим керак деб ўйлагандим,28,16,0.020202020202020204,Other
Кредит ажратишдаги адолатсизлик (кредитга сотилган товар бозордан икки баробар қиммат) туфайли кредит тўламасликка қарор қилдим,9,7,0.008838383838383838,Other
Банк шартномасида яширин шартлар бўлган,7,5,0.006313131313131313,Institutional
Тўловларни амалга оширишда банк томонидан хатолик юз берган,7,4,0.005050505050505051,Other
"Бошқалар ҳам тўламаслигини кўриб, ман ҳам шу қарорга келдим",6,2,0.0025252525252525255,Other
"Кредит тўламасам, буни ҳеч қандай салбий оқибатлари йўқ деб ўйлагандим",7,2,0.0025252525252525255,Other
Менинг умуман кредитим бўлмаган,1,0,0,Other
