variable_stat,value
is_npl_mean,0.519344262295082
is_npl_sd,0.4997895516841409
is_npl_min,0
is_npl_max,1
hh_size_mean,5.384918032786885
hh_size_sd,2.115908545503742
hh_size_min,1
hh_size_max,24
employed_members_mean,1.878032786885246
employed_members_sd,1.06953582861356
employed_members_min,0
employed_members_max,8
children_mean,1.538360655737705
children_sd,1.3114191341568264
children_min,0
children_max,8
dti_mean,3.8688524590163933
dti_sd,1.6269084274681782
dti_min,1
dti_max,7
volatility_mean,2.339016393442623
volatility_sd,1.2025040924049961
volatility_min,1
volatility_max,4
read_contract_mean,2.639344262295082
read_contract_sd,0.6458220992650714
read_contract_min,1
read_contract_max,3
