"row_id","age","age_q"
3,39,40
8,54,55
10,49,50
12,28,27
14,52,30
22,40,32
23,28,29
27,34,58
40,38,42
47,52,38
56,61,62
58,48,24
66,41,42
74,28,29
79,24,25
82,47,56
90,20,36
92,35,32
98,29,28
101,43,55
109,47,51
112,53,52
117,33,32
123,59,60
140,48,39
145,44,45
148,28,39
149,56,57
150,28,29
155,54,46
172,53,54
177,47,45
179,45,73
187,20,23
203,26,27
213,34,35
220,44,27
232,25,35
237,24,32
240,33,34
251,30,31
257,39,40
258,32,30
263,42,33
286,37,38
288,52,50
289,41,42
303,26,25
309,42,46
312,49,50
319,48,47
322,30,31
355,40,38
368,49,51
411,63,64
424,28,29
437,49,50
444,43,36
445,37,38
449,33,32
458,24,40
459,53,43
467,37,38
475,22,25
484,40,41
486,62,20
489,37,36
500,43,31
502,55,56
521,18,19
539,48,49
541,58,52
544,39,40
570,28,43
574,23,24
579,31,33
609,53,54
618,35,34
627,34,33
631,24,53
633,50,42
647,33,23
649,37,38
652,42,23
677,49,35
710,27,28
712,50,60
713,42,43
746,46,42
753,26,25
769,44,45
774,19,60
782,37,27
784,34,30
790,43,42
843,28,38
847,34,35
893,28,27
894,42,43
902,40,39
903,64,65
905,42,43
918,35,40
922,33,28
927,26,38
928,65,46
930,27,28
947,30,51
952,28,29
961,31,38
964,24,32
988,43,44
990,42,43
998,25,24
1027,55,28
1036,42,41
1046,47,30
1091,32,33
1120,57,52
1123,59,60
1134,28,24
1146,34,26
1156,61,33
1174,25,48
1224,42,43
1241,57,25
1272,58,68
1281,51,52
1289,34,35
1297,32,35
1353,37,36
1361,37,43
1438,30,31
1439,30,35
1441,22,23
1477,34,40
1478,42,35
1525,45,41
1593,32,33
1624,33,34
1639,49,50
1640,37,40
1677,64,65
1688,35,36
1707,34,35
1749,39,33
1808,31,30
