dummy_block,n_cols,any_matrix_words
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?",17,TRUE
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?",14,FALSE
1.9. Сиз асосан нималардан доимий даромад топасиз?,10,TRUE
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?",10,TRUE
3.11.1. Кредит,10,FALSE
"3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?",10,TRUE
"2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди?",8,FALSE
2.2.б Нима сабабдан қарз олиш учун тижорат банкларига мурожаат қиласиз? (ушбу савол Тижорат банки варианти белгиланса кўринади),8,FALSE
3.11.2. Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар?,8,FALSE
"2.2.а. Нима учун норасмий қарз (пул кўринишида) ёки насияга (маҳсулот кўринишида) мурожаат қиласиз? (ушбу савол Норасмий насия хизмати, Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахслар ва Оила аъзолари, дўстлар ёки танишларга варианталри белгиланса кўринади)",7,FALSE
"2.5. Қарз, кредит, насия қайси манбадан олинган?",7,FALSE
"2.7.в. Сизнингча, ушбу кредитларни ўз вақтида қайтарилишини даражасини ошириш учун қандай турдаги ёрдам ва қўллаб-қувватлаш чоралари зарур деб ҳисоблайсиз?",7,FALSE
"2.2.в. Нима учун бошқа расмий кредит ва насия ташкилотларига мурожаат қиласиз? (ушбу савол Расмий насия хизматлари, Микромолия ташкилотлари ва Ломбардларга варианталри белгиланса кўринади)",6,FALSE
2.7.a Нима сабабдан оилавий тадбиркорлик кредитини олгансиз?,6,FALSE
2.7.б. Оилавий тадбиркорлик кредитларининг қайтарилмаслик сабаблари нима деб ўйлайсиз?,6,TRUE
"3.9. Биринчи навбатда қайси манбадаги қарзлар (кредит, насия) тўланиши керак деб ҳисоблайсиз?",6,FALSE
"2.4. Бугунги кунда номингизда қарз, кредит ёки насия (рассрочка) мавжудми?",4,FALSE
"1-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?",1,FALSE
"1-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?",1,FALSE
1-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?,1,FALSE
"10-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?",1,FALSE
"2-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?",1,FALSE
"2-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?",1,FALSE
2-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?,1,FALSE
2.4.1. Бугунги кунда номингизда нечта кредит,1,FALSE
"2.4.3. Агар даромадсиз қолсангиз, неча ой давомида кредит",1,FALSE
"3-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?",1,FALSE
"3-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?",1,FALSE
3-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?,1,FALSE
"3.6. Қарз (кредит, насия) олишдан аввал кредит шартлари, шу жумладан, фоиз тўловлари юзасидан банк ходимлари",1,FALSE
"4-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?",1,FALSE
"4-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?",1,FALSE
4-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?,1,FALSE
"5-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?",1,FALSE
"5-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?",1,FALSE
5-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?,1,FALSE
"6-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?",1,FALSE
"6-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?",1,FALSE
6-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?,1,FALSE
"7-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?",1,FALSE
"7-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?",1,FALSE
7-3.3 Қарз олган шахс тўловни кечиктирганда банк кимни хабардор қилиш мақсадга мувофиқ деб ҳисоблайсиз?,1,FALSE
"8-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?",1,FALSE
"8-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?",1,FALSE
"9-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?",1,FALSE
